Country,Confirmed,Deaths,Recovered,TotalDeath,Active,Newcases,Newdeaths,Newrecovered,Deathrate,Recoveredrate,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,Region
Latvia,1219,31,1045,211144,143,0,0,0,2.54,85.73,2.97,1192,27,2.27,Europe
Slovakia,2181,28,1616,211144,537,2,0,39,1.28,74.09,1.73,1980,201,10.15,Europe
Singapore,50838,27,45692,8249,5119,469,0,171,0.05,89.88,0.06,48035,2803,5.84,Pacific
Guinea-Bissau,1954,26,803,12223,1125,0,0,0,1.33,41.1,3.24,1949,5,0.26,Africa
Suriname,1483,24,925,342732,534,44,1,35,1.62,62.37,2.59,1079,404,37.44,Americas
Cabo Verde,2328,22,1550,12223,756,21,0,103,0.95,66.58,1.42,2071,257,12.41,Africa
New Zealand,1557,22,1514,8249,21,1,0,1,1.41,97.24,1.45,1555,2,0.13,Pacific
Tanzania,509,21,183,12223,305,0,0,0,4.13,35.95,11.48,509,0,0,Africa
Guyana,389,20,181,342732,188,19,0,0,5.14,46.53,11.05,337,52,15.43,Americas
Cyprus,1060,19,852,211144,189,3,0,0,1.79,80.38,2.23,1038,22,2.12,Europe
Togo,874,18,607,12223,249,6,0,8,2.06,69.45,2.97,783,91,11.62,Africa
Georgia,1137,16,922,211144,199,6,0,2,1.41,81.09,1.74,1039,98,9.43,Europe
Maldives,3369,15,2547,41349,807,67,0,19,0.45,75.6,0.59,2999,370,12.34,Asia
Sao Tome and Principe,865,14,734,12223,117,2,0,38,1.62,84.86,1.91,746,119,15.95,Africa
Lesotho,505,12,128,12223,365,0,0,0,2.38,25.35,9.38,359,146,40.67,Africa
Sri Lanka,2805,11,2121,41349,673,23,0,15,0.39,75.61,0.52,2730,75,2.75,Asia
Mozambique,1701,11,0,12223,1690,32,0,0,0.65,0,inf,1507,194,12.87,Africa
Jordan,1176,11,1041,38339,124,8,0,0,0.94,88.52,1.06,1223,-47,-3.84,Mediterranean
Bahamas,382,11,91,342732,280,40,0,0,2.88,23.82,12.09,174,208,119.54,Americas
Iceland,1854,10,1823,211144,21,7,0,0,0.54,98.33,0.55,1839,15,0.82,Europe
Jamaica,853,10,714,342732,129,11,0,0,1.17,83.7,1.4,809,44,5.44,Americas
Mauritius,344,10,332,12223,2,0,0,0,2.91,96.51,3.01,343,1,0.29,Africa
Malta,701,9,665,211144,27,1,0,0,1.28,94.86,1.35,677,24,3.55,Europe
Namibia,1843,8,101,12223,1734,68,0,26,0.43,5.48,7.92,1344,499,37.13,Africa
Gambia,326,8,66,12223,252,49,2,6,2.45,20.25,12.12,112,214,191.07,Africa
Trinidad and Tobago,148,8,128,342732,12,1,0,0,5.41,86.49,6.25,137,11,8.03,Americas
Taiwan*,462,7,440,8249,15,4,0,0,1.52,95.24,1.59,451,11,2.44,Pacific
Comoros,354,7,328,12223,19,0,0,0,1.98,92.66,2.13,334,20,5.99,Africa
Barbados,110,7,94,342732,9,0,0,0,6.36,85.45,7.45,106,4,3.77,Americas
Burma,350,6,292,41349,52,0,0,2,1.71,83.43,2.05,341,9,2.64,Asia
Rwanda,1879,5,975,12223,899,58,0,57,0.27,51.89,0.51,1629,250,15.35,Africa
Monaco,116,4,104,211144,8,0,0,0,3.45,89.66,3.85,109,7,6.42,Europe
Brunei,141,3,138,8249,0,0,0,0,2.13,97.87,2.17,141,0,0,Pacific
Antigua and Barbuda,86,3,65,342732,18,4,0,5,3.49,75.58,4.62,76,10,13.16,Americas
Uganda,1128,2,986,12223,140,13,0,4,0.18,87.41,0.2,1069,59,5.52,Africa
Botswana,739,2,63,12223,674,53,1,11,0.27,8.53,3.17,522,217,41.57,Africa
Belize,48,2,26,342732,20,0,0,0,4.17,54.17,7.69,40,8,20,Americas
Burundi,378,1,301,12223,76,17,0,22,0.26,79.63,0.33,322,56,17.39,Africa
Liechtenstein,86,1,81,211144,4,0,0,0,1.16,94.19,1.23,86,0,0,Europe
Western Sahara,10,1,8,12223,1,0,0,0,10,80,12.5,10,0,0,Africa
Vietnam,431,0,365,8249,66,11,0,0,0,84.69,0,384,47,12.24,Pacific
Mongolia,289,0,222,8249,67,1,0,4,0,76.82,0,287,2,0.7,Pacific
Eritrea,265,0,191,12223,74,2,0,2,0,72.08,0,251,14,5.58,Africa
Cambodia,226,0,147,8249,79,1,0,4,0,65.04,0,171,55,32.16,Pacific
Seychelles,114,0,39,12223,75,0,0,0,0,34.21,0,108,6,5.56,Africa
Bhutan,99,0,86,41349,13,4,0,1,0,86.87,0,90,9,10,Asia
Papua New Guinea,62,0,11,8249,51,0,0,0,0,17.74,0,19,43,226.32,Pacific
Saint Vincent and the Grenadines,52,0,39,342732,13,0,0,0,0,75,0,50,2,4,Americas
Fiji,27,0,18,8249,9,0,0,0,0,66.67,0,27,0,0,Pacific
Saint Lucia,24,0,22,342732,2,0,0,0,0,91.67,0,23,1,4.35,Americas
Timor-Leste,24,0,0,41349,24,0,0,0,0,0,0,24,0,0,Asia
Grenada,23,0,23,342732,0,0,0,0,0,100,0,23,0,0,Americas
Laos,20,0,19,8249,1,0,0,0,0,95,0,19,1,5.26,Pacific
Dominica,18,0,18,342732,0,0,0,0,0,100,0,18,0,0,Americas
Saint Kitts and Nevis,17,0,15,342732,2,0,0,0,0,88.24,0,17,0,0,Americas
Greenland,14,0,13,211144,1,1,0,0,0,92.86,0,13,1,7.69,Europe
Holy See,12,0,12,211144,0,0,0,0,0,100,0,12,0,0,Europe
